ISIN,Country,Region,Sector,Environment Score final,Environmental Impact Score final,Environmental CSR Score final,Environmental Impact Grade,Environmental CSR Grade,Entity Controversy Score,Controversy Involvement,Product Involvement - Defense (%),Product Involvement - Nuclear Energy (%),Product Involvement - Genetic Engineering (%),Product Involvement - Gambling (%),Product Involvement - Tobacco (%),Product Involvement - Alcohol (%),Product Involvement - Adult Entertainment (%),Coal mining,Crude oil (oil extraction),Crude petroleum & natural gas (oil & gas extraction),Natural gas (gas extraction),Drilling contractors (oil and gas wells),Petroleum refineries,Support activities for oil and gas operations,Lubricating oil & grease,Asphalt,Other fuel products from petroleum & coal,Wholesale of self-generated electric power from Coal,Wholesale of self-generated electric power from Gas,Wholesale of self-generated electric power from Oil,Retail of self-generated electric power from Coal,Retail of self-generated electric power from Gas,Retail of self-generated electric power from Oil,Business Activity Classification - Very negative (%),Business Activity Classification - Negative (%),Business Activity Classification - Medium/Neutral (%),Business Activity Classification - Positive (%),Business Activity Classification - Very positive (%),GHG Total tCO2eq (model or physical),Scope 1 tCO2eq (model or physical),Scope 2 tCO2eq (model),Scope3 upstream tCO2eq (model and/or physical),Scope3 downstream tCO2eq (model or physical),CIU Total tCO2eq/mUSD (model or physical),CIU Scope 1 tCO2eq/mUSD (model or physical),CIU Scope 2 tCO2eq/mUSD (model),CIU Scope 3 upstream tCO2eq/mUSD (model),CIU Scope 3 downstream tCO2eq/mUSD (model or physical)
US12514G1085,United States,North America,Consulting & commercial services,38,40,32,C+,C,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,67.0,0.0,7224591.706981019,830748.0320563671,296004.34812553175,1436660.4088981894,4661178.917900931,391.2057239464475,44.98432554792837,16.028393021553093,77.79398450782128,252.39902086914478
INE274J01014,India,Asia-Pacific,Energy,9,3,38,D-,C+,0.0054,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4631914198497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.16,0.0,0.0,0.84,17252299.458351653,2428286.4261936317,113744.70471723958,262302.4400432913,14447965.88739749,10363.306425213697,1458.6505632818428,68.32545609794485,157.56279728462292,8678.767608549286
XS1688567251,Australia,Asia-Pacific,Housing,60,47,89,B-,A+,0.0004,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63,88.37,0.0,451075.69047791127,41616.87643961273,41820.849548935046,171620.0896702694,196017.87481909405,319.2988177073379,29.458957164732027,29.60334174147945,121.48314104111036,138.75337776001604
AU000000MGR9,Australia,Asia-Pacific,Housing,60,47,89,B-,A+,0.0004,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63,88.37,0.0,451075.69047791127,41616.87643961273,41820.849548935046,171620.0896702694,196017.87481909405,319.2988177073379,29.458957164732027,29.60334174147945,121.48314104111036,138.75337776001604
KR7036460004,Korea (Republic of),Asia-Pacific,Energy,37,25,59,C-,B+,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22241022999235,0.0,1.22241022999235,0.0,0.0,1.22241022999235,0.0,0.0,0.0,0.0,1.22241022999235,0.0,0.0,0.0,0.0,0.0,2.44,96.33,0.0,1.22,52690875.85270397,21046358.393235914,7347232.641136047,5929061.566699484,18368223.25163253,2978.739660003192,1189.8003483530192,415.35641427943415,335.183853931365,1038.3990434393738
US30231G1022,United States,North America,Energy,2,0,29,D-,C,1.1680000000000001,very high,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05803199254786,0.0,0.0,80.2115093327906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.21000000000001,9.06,10.73,0.0,0.0,1194124779.4269695,85029334.8869046,23698755.84917693,114739190.62142493,970657498.0694631,6687.002471955433,476.15741869983646,132.7111217152381,642.530215044883,5435.603716495476
US6752321025,United States,North America,Energy,10,10,10,D,D,0.0,minimal,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9631885680059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.81,1.8,1.8,3.59,6324732.671957942,4108421.0560537335,55649.80022162502,401179.8677979607,1759481.9478846234,3460.1295111234554,2247.631588161936,30.44484660809547,219.47714976016636,962.5759265932579
BMG524401079,Hong Kong (China),Asia-Pacific,Housing,54,53,55,B,B,0.0001,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,531276.3069720274,41081.6858543544,55041.83905265294,139673.91958776358,295478.86247725645,283.67196751942305,21.935332900010447,29.38927743445478,74.57809629499762,157.76926088996018
AT0000746409,Austria,Europe,Energy,46,40,82,C+,A+,0.0,minimal,0.0,11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849204236972374,0.849204236972374,0.0,0.254761271091712,0.254761271091712,0.0,24.63,0.59,5.7700000000000005,15.08,53.92,5090973.245814644,581278.4800279357,2134090.8909344445,946877.2796753561,1428726.5951769068,1378.5342774717988,157.3986487031699,577.8693586362982,256.39553059227643,386.870739540054
KR7026960005,Korea (Republic of),Asia-Pacific,Nutrition,23,42,4,C+,D-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,85.4,0.0,278426.4123185394,30366.165429570076,9227.95019439244,63383.633950748925,175448.66274382797,665.1071655989839,72.53893066676697,22.04379874370227,151.41131464968802,419.11312153882665
IM00B5VQMV65,United Kingdom,Europe,Leisure,53,42,64,C+,B+,0.0,minimal,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1917081.4039168353,146778.04179886283,95262.17160960528,460058.68809070706,1214982.50241766,419.25890041,32.09983691,20.833498899999995,100.61320260000001,265.712362
TW0002371002,Taiwan,Asia-Pacific,Comfort & Appliances,52,47,60,B-,B+,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.59,12.41,807207.5820171698,36056.240790075666,62473.861907482984,383817.11571947375,324860.36360013747,751.1115241858154,33.550549548317356,58.13230535055303,357.14414138211765,302.2845279048274
JP3246500007,Japan,Asia-Pacific,Financial Services,39,40,36,C+,C,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,486171.65347642417,37222.8968105313,24158.47725118605,116670.8375702112,308119.4418444956,419.258879447055,32.099835305008156,20.833497858325053,100.61319756933987,265.7123487143819
KYG3690U1058,China,Asia-Pacific,Housing,25,33,6,C,D-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,19.09,76.68,1.78,1695616.5656749646,77300.54666882289,124805.34555585324,762476.2322974344,731034.4411528541,722.7212964657066,32.94775035637905,53.19568289902356,324.9896363868871,311.5882268234169
NL0000395317,Netherlands,Europe,Nutrition,60,54,69,B,A-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,40.0,674010.0528741365,72781.21979923069,42688.11697393976,454803.2228370407,103737.49326392537,908.1019162869999,98.059019873,57.51421757199999,612.7618964,139.76678244200002
JP3678800008,Japan,Asia-Pacific,IT Equipment & Electronics,52,41,63,C+,B+,0.0,minimal,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99,28.990000000000002,28.23,4815385.509429813,536407.3724948334,470652.20005039783,2272583.6152520003,1535742.3216325818,753.6179177956857,83.94887727227423,73.65805506399386,355.66409559296096,240.34688986645662
CH0371153492,Switzerland,Europe,Machinery & Industrial Equipment,57,49,68,B-,A-,0.0013000000000000002,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,15.0,1188538.2401251364,57746.91611727792,76129.29295635178,491340.1057614412,563321.9252900656,699.5520539595,33.9887875845,44.80832122700001,289.193875783,331.561069365
CNE1000004R6,China,Asia-Pacific,Resources,17,15,25,D+,C-,0.0002,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,536800.5180971818,50992.12487342662,6554.878025481997,54438.19070782482,424815.3244904484,483.7510476978182,45.952813010125155,5.9070902606399125,49.05832036644255,382.83282406061056
CH0100837282,Switzerland,Europe,Machinery & Industrial Equipment,36,39,31,C+,C,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,305473.3883853888,16755.369129634473,32233.849473163824,177991.87009521824,78492.2996873723,647.9841147100001,35.54225489000001,68.37591492,377.56449090000007,166.501454
MYL1295OO004,Malaysia,Asia-Pacific,Financial Services,34,34,34,C,C,0.0094,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.56,90.44,0.0,0.0,1390477.407452372,92415.81691256413,59950.002122817634,289714.05060368055,948397.5378133096,482.7978405037679,32.088372378179656,20.81567913866595,100.59373654357442,329.30005244334785
US34959E1091,United States,North America,Software,34,46,25,B-,C-,0.001,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,742122.633726096,87359.115311136,58003.682556432,246194.53368772802,350565.3021708,286.04788534,33.67218444,22.35726278,94.89459362000001,135.1238445
GB00B24CGK77,United Kingdom,Europe,Household & Personal Products,49,40,62,C+,B+,0.8222,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.08,30.42,43.5,15495042.687469209,2527582.8733150293,1897878.7382748958,8279878.169875171,2789702.9060041117,862.519300576109,140.69590229673017,105.64391947360902,460.8928721255785,155.28660668019128
CNE000001NN0,China,Asia-Pacific,Transportation,23,18,49,D+,B-,0.0049,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.87,6.13,0.0,0.0,14464710.714071667,9337243.749538522,140077.00826346333,2314303.105578944,2673086.8506907374,1434.470841795976,925.9780002668622,13.891489980817639,229.51031580612784,265.09103574216823
CNE1000001S0,China,Asia-Pacific,Transportation,23,18,49,D+,B-,0.0049,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.87,6.13,0.0,0.0,14464710.714071667,9337243.749538522,140077.00826346333,2314303.105578944,2673086.8506907374,1434.470841795976,925.9780002668622,13.891489980817639,229.51031580612784,265.09103574216823
KYG8918W1069,China,Asia-Pacific,Retail & distribution,33,36,28,C,C-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,595062.7164028583,115121.6168869554,13812.273562611805,82345.99359917972,383782.8323541113,691.3668232650001,133.752736245,16.047632344999997,95.67275252499999,445.89370215
MYL6742OO000,Malaysia,Asia-Pacific,Energy,49,52,33,B,C,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3686193288842,0.0,0.0,0.0,1.49539321724752,13.3686193288842,0.0,0.0,13.3686193288842,0.0,1.5,13.370000000000001,33.54,1.5,50.1,16788419.374543756,13531680.0,1328037.212453855,707325.2976079462,1221376.8644819553,6637.683301805193,5350.057344741081,525.0697062432912,279.6571381815535,482.89911263926706
CNE100000PW7,China,Asia-Pacific,Health,34,40,28,C+,C-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,631901.1457103654,110596.08497391053,91911.0437716786,390344.54964603164,39049.46731874461,264.544464999,46.300884765000006,38.4784203465,163.41715908,16.3480008075
FR0000120354,France,Europe,Machinery & Industrial Equipment,43,24,72,C-,A,0.0,minimal,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.42,85.58,0.0,0.0,2875091.263221429,177208.55532254642,369981.60857410997,1431386.2180001622,896514.8813246107,776.642055605093,47.86895582657256,99.94231511702294,386.6571990020438,242.17358565945366
BRCMIGACNPR3,Brazil,Latin America,Energy,22,18,47,D+,B-,0.26030000000000003,medium,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162067767158992,0.171071532001158,3.31,3.14,10.36,2.74,80.45,13245187.559462465,690850.0,1052745.3053941103,9863552.42942056,1638039.8246477945,2680.8990867194702,139.83185407872855,213.08146185993448,1996.437466901099,331.5483038797083
CH0012032048,Switzerland,Europe,Health,61,44,78,B-,A,0.5640000000000001,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,21697490.633454345,2680069.6779384124,2758140.4895263202,12564418.071710533,3694862.394279079,348.8516360276016,43.09008390008161,44.345304183778914,202.0103556718609,59.40589227188018
VGG0457F1071,Uruguay,Latin America,Nutrition,20,8,31,D,C,0.00030000000000000003,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,815360.0202518062,92960.38662541086,35597.610163290876,253344.40986502473,433457.61359807977,410.92239327000004,46.84986215,17.94036352,127.6796613,218.45250630000004
TRAAKBNK91N6,Turkey,Europe,Financial Services,46,43,53,C+,B,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1628536.2194934865,124686.07582724564,80924.00066939276,390813.9921015451,1032112.150895303,419.25890879517794,32.09983755199674,20.83349931666998,100.61320461226404,265.7123673142472
US87938WAV54,Spain,Europe,Communication,67,55,90,B,A+,0.0216,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,15924111.975295901,1487389.66579561,749677.1290469072,3334912.547949638,10352132.632503746,323.7842463622,30.243026596000007,15.243151054200002,67.808625542,210.48944317
ES0178430E18,Spain,Europe,Communication,67,55,90,B,A+,0.0216,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,15924111.975295901,1487389.66579561,749677.1290469072,3334912.547949638,10352132.632503746,323.7842463622,30.243026596000007,15.243151054200002,67.808625542,210.48944317
CNE100000N46,China,Asia-Pacific,IT Equipment & Electronics,31,51,12,B-,D,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,323216.2273299467,15267.70855087247,28554.69431042971,158936.39590840257,120457.42856024193,648.6959714600001,30.64233845,57.30936010999999,318.98583990000003,241.75843300000003
MYL5398OO002,Malaysia,Asia-Pacific,Infrastructure,34,34,33,C,C,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.810000000000002,56.03,11.700000000000001,3.45,545289.48539394,86835.97324006793,25925.623130638487,359655.0371871173,72872.85183611633,627.9598407990561,100.00101852701187,29.85616009443229,414.1816887069408,83.92097347067124
US8454671095,United States,North America,Energy,28,23,56,C-,B,0.0007,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2711323763955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.27,4.0,55.730000000000004,0.0,0.0,47524094.39584498,2564324.142543301,604869.2043303687,607371.2497695434,43747529.79920177,20591.02876769713,1111.0589872371322,262.0750452037992,263.15912035075536,18954.735614905447
JP3802300008,Japan,Asia-Pacific,Clothing,47,34,61,C,B+,0.0872,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11156847.359607967,1254154.888593704,64832.92991813598,816818.7360331661,9021040.80506296,599.6301551319999,67.40516081,3.484477162,43.90031786,484.8401993
XS1397887537,United Kingdom,Europe,Financial Services,46,44,49,B-,B-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,96.35000000000001,0.0,195944.49576959814,19175.64580930614,12489.453077249498,60365.42422435257,103913.97265868993,326.9558408212939,31.996762012876975,20.840083393165585,100.72662646780802,173.39236894744334
KR7016360000,Korea (Republic of),Asia-Pacific,Financial Services,47,47,47,B-,B-,0.0012000000000000001,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,576011.8990462213,44101.36075709194,28622.751367785,138230.58220606332,365057.204715281,419.25890041,32.09983691000001,20.833498900000002,100.61320260000002,265.712362
GB00B8HX8Z88,United Kingdom,Europe,Health,55,48,69,B-,A-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,910639.4475959067,57328.20684381244,171491.33473698498,666469.6308547274,15350.275160381956,232.33822705,14.626572540000002,43.75386194,170.04136250000002,3.91643007
MXCFFU000001,Mexico,Latin America,Housing,40,36,48,C,B-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,9.0,0.0,255067.1552947351,18457.401980423703,26840.886237338873,65099.42845937862,144669.4386175939,283.69696556355126,20.529138406637376,29.853620195711255,72.40646210409365,160.90774485710898
